Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Open,In Spec,Ready for Dev,In Dev,Ready for Test,In Test,On Hold,Resolved,Closed,Resolution 
Shared Test, Integration and Delivery Porsche Connect,,STID-678,Feature,Resolved,25.11.2020 10:03:28,Konfigurationsmanagement|,,25.11.2020 10:30:17,03.05.2021 13:42:57,0,67682,0,161496,0,0,0,620571,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-677,Feature,Resolved,25.11.2020 10:02:15,Konfigurationsmanagement|,,25.11.2020 10:30:28,28.04.2022 12:05:57,0,28,0,679799,0,0,67655,102268,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-676,Feature,Resolved,25.11.2020 09:59:54,Konfigurationsmanagement|,,25.11.2020 10:26:39,03.05.2021 13:18:05,0,108019,0,121137,0,0,0,620595,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-675,Feature,Resolved,25.11.2020 09:58:29,Konfigurationsmanagement|,,25.11.2020 10:27:24,08.02.2021 09:53:26,0,28,67655,40310,0,0,0,741760,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-674,Feature,Resolved,25.11.2020 09:57:55,Konfigurationsmanagement|,,25.11.2020 10:27:43,08.02.2021 09:53:15,0,29,67654,40310,0,0,0,741760,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-673,Feature,Resolved,25.11.2020 09:57:29,Konfigurationsmanagement|,,25.11.2020 10:28:49,08.02.2021 09:53:05,0,31,67653,40310,0,0,0,741760,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-672,Feature,Resolved,25.11.2020 09:53:34,Konfigurationsmanagement|,,25.11.2020 10:29:26,08.02.2021 09:52:38,0,35,67651,40311,0,0,0,741761,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-671,Feature,Resolved,25.11.2020 08:44:15,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Verbundintegration Rel 4|,,10.02.2021 13:31:52,18.03.2021 18:07:34,0,111167,0,49525,0,0,0,689136,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-670,Feature,Resolved,24.11.2020 17:34:38,Konfigurationsmanagement|,,25.11.2020 09:44:10,12.01.2021 16:40:30,0,969,67711,1824,0,0,0,780233,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-669,Feature,Resolved,24.11.2020 17:33:47,Konfigurationsmanagement|,,25.11.2020 09:44:52,25.03.2021 10:59:50,0,971,67710,105164,0,0,0,676894,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-668,Feature,Resolved,24.11.2020 17:31:10,Konfigurationsmanagement|,,25.11.2020 09:46:31,25.03.2021 10:59:22,0,975,67708,105163,0,0,0,676894,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-667,Feature,Resolved,24.11.2020 17:29:55,Konfigurationsmanagement|,,25.11.2020 09:49:35,08.02.2021 10:00:09,0,979,67705,40304,0,0,0,741753,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-666,Feature,Resolved,24.11.2020 17:28:44,Konfigurationsmanagement|,,25.11.2020 09:50:32,08.02.2021 09:59:58,0,981,67704,40305,0,0,0,741754,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-665,Feature,Resolved,24.11.2020 17:26:44,Konfigurationsmanagement|,,25.11.2020 10:36:44,08.02.2021 09:46:19,0,1030,67642,40306,0,0,0,741767,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-664,Feature,Resolved,24.11.2020 17:19:17,Konfigurationsmanagement|,,25.11.2020 09:36:27,03.05.2021 13:17:16,0,977,107983,121197,0,0,0,620596,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-663,Feature,Resolved,24.11.2020 17:16:04,Konfigurationsmanagement|,,25.11.2020 09:37:44,10.02.2021 12:51:15,0,982,67699,43372,0,0,0,738702,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-662,Feature,Resolved,24.11.2020 17:09:21,Konfigurationsmanagement|,,25.11.2020 09:40:43,08.02.2021 09:42:26,0,991,59,107941,0,0,0,741771,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-661,Feature,Resolved,24.11.2020 16:59:14,Konfigurationsmanagement|,,25.11.2020 10:39:20,08.02.2021 09:41:38,0,1060,67638,40303,0,0,0,741772,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-660,Feature,Resolved,24.11.2020 16:24:54,Konfigurationsmanagement|,,25.11.2020 07:55:05,11.01.2021 10:35:34,0,1085,0,67683,0,0,0,782038,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-659,Feature,Resolved,24.11.2020 16:23:43,Konfigurationsmanagement|,,25.11.2020 07:56:03,11.01.2021 10:35:24,0,1086,0,67683,0,0,0,782038,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-658,Feature,Resolved,24.11.2020 16:21:29,Konfigurationsmanagement|,,25.11.2020 07:55:12,07.02.2021 23:41:55,0,939,67809,39688,0,0,0,742372,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-657,Feature,Resolved,24.11.2020 16:19:25,Konfigurationsmanagement|,,24.11.2020 16:44:53,10.02.2021 12:50:56,0,25,108991,3094,0,0,0,738703,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-656,Feature,Resolved,24.11.2020 16:16:29,Konfigurationsmanagement|,,24.11.2020 16:45:12,07.02.2021 23:40:56,0,28,68710,39704,0,0,0,742373,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-655,Feature,Resolved,24.11.2020 15:45:15,Testinfrastruktur|,,24.11.2020 15:50:59,11.01.2021 11:25:50,0,68859,0,0,0,0,0,781988,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-654,Feature,Resolved,24.11.2020 15:25:12,Konfigurationsmanagement|,,25.11.2020 07:55:20,11.01.2021 10:33:50,0,1145,0,67681,0,0,0,782040,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-653,Feature,Resolved,24.11.2020 15:13:21,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,24.11.2020 15:17:18,16.02.2021 11:08:21,0,3,2,25905,0,0,94803,730165,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-652,Feature,Resolved,24.11.2020 15:12:39,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,24.11.2020 15:17:21,16.02.2021 11:07:23,0,4,71876,7263,41569,0,0,730166,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-651,Feature,Resolved,24.11.2020 15:11:57,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,24.11.2020 15:17:24,18.12.2020 09:49:25,0,5,34231,0,0,0,0,816644,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-650,Feature,Resolved,24.11.2020 15:11:20,Konfigurationsmanagement|,,16.02.2021 15:20:33,16.02.2021 15:20:33,0,120969,0,0,0,0,0,729913,0,Not Required 
Shared Test, Integration and Delivery Porsche Connect,,STID-649,Feature,Resolved,24.11.2020 15:00:32,Konfigurationsmanagement|,,25.11.2020 07:55:29,13.01.2021 13:24:50,0,1169,0,70732,0,0,0,778989,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-648,Feature,Resolved,24.11.2020 15:00:22,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,24.11.2020 15:07:30,16.02.2021 11:06:45,0,7,12,31419,0,0,89287,730167,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-647,Feature,Resolved,24.11.2020 14:59:15,Automatisierungsplattform & Continuous Integration|,,12.01.2021 14:59:34,12.01.2021 14:59:34,0,70560,0,0,0,0,0,780334,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-646,Feature,Resolved,24.11.2020 14:58:38,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,24.11.2020 15:07:51,16.02.2021 10:57:51,0,16,4,0,0,0,120697,730176,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-645,Feature,Resolved,24.11.2020 14:56:50,Konfigurationsmanagement|,,25.11.2020 07:55:35,13.01.2021 13:24:35,0,1173,0,70732,0,0,0,778989,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-644,Feature,Resolved,24.11.2020 14:49:44,Konfigurationsmanagement|,,25.11.2020 10:40:57,17.02.2021 09:14:06,0,1191,120871,1,0,0,0,728839,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-643,Feature,Resolved,24.11.2020 14:45:52,Konfigurationsmanagement|,,25.11.2020 11:20:10,21.03.2022 11:20:56,0,109173,0,151594,0,0,433106,157033,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-642,Feature,Resolved,24.11.2020 14:23:21,Verbundintegration Rel 3.x|,,24.11.2020 14:26:33,24.11.2020 14:26:33,0,3,0,0,0,0,0,850927,0,Duplicate 
Shared Test, Integration and Delivery Porsche Connect,,STID-641,Feature,Resolved,24.11.2020 14:06:22,Verbundintegration Rel 3.x|,,24.11.2020 14:06:49,24.11.2020 14:06:49,0,0,0,0,0,0,0,850947,0,Duplicate 
Shared Test, Integration and Delivery Porsche Connect,,STID-640,Feature,Resolved,24.11.2020 13:59:22,Automatisierungsplattform & Continuous Integration|,,04.05.2021 18:49:45,04.05.2021 18:49:45,0,232130,0,0,0,0,0,618824,0,Won't Do 
Shared Test, Integration and Delivery Porsche Connect,,STID-639,Feature,Resolved,24.11.2020 13:48:09,Testinfrastruktur|,,24.11.2020 15:10:40,24.11.2020 15:10:40,0,82,0,0,0,0,0,850883,0,Duplicate 
Shared Test, Integration and Delivery Porsche Connect,,STID-638,Feature,Resolved,24.11.2020 12:14:34,Teststrategie, -prozesse, -tools​|,,07.01.2021 16:29:28,09.02.2021 14:50:37,0,63614,6826,40594,0,0,0,740023,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-637,Feature,Resolved,24.11.2020 12:10:32,Teststrategie, -prozesse, -tools​|,,25.11.2020 11:03:51,09.02.2021 14:53:48,0,1373,70456,39213,0,0,0,740020,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-636,Feature,Resolved,24.11.2020 12:00:21,Teststrategie, -prozesse, -tools​|,,25.11.2020 11:03:23,13.01.2021 15:01:08,0,1383,69072,1724,0,0,0,778892,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-635,Feature,Resolved,24.11.2020 11:34:39,Konfigurationsmanagement|,,25.11.2020 07:50:48,29.03.2021 16:24:59,0,1355,1,178933,0,0,0,670809,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-634,Feature,Resolved,24.11.2020 11:33:13,Konfigurationsmanagement|,,25.11.2020 10:39:53,18.01.2021 16:20:16,0,1386,1,78098,0,0,0,771613,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-633,Feature,Resolved,24.11.2020 11:30:43,Testinfrastruktur|,,24.11.2020 12:22:13,05.02.2021 14:24:35,0,51,105242,0,0,0,0,745809,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-632,Feature,Resolved,24.11.2020 11:30:38,Konfigurationsmanagement|,,25.11.2020 07:52:21,11.01.2021 10:25:32,0,1358,1,67694,0,0,0,782048,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-631,Feature,Resolved,24.11.2020 11:28:41,Konfigurationsmanagement|,,25.11.2020 07:55:40,17.02.2021 09:24:32,0,1232,121039,1,0,0,0,728829,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-630,Feature,Resolved,24.11.2020 11:27:15,CC-Erpobung und Q-Absicherung​ |,,24.11.2020 11:27:31,16.12.2020 11:25:00,0,0,10360,21316,0,0,0,819429,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-629,Feature,Resolved,24.11.2020 11:27:04,Konfigurationsmanagement|,,25.11.2020 07:55:47,17.02.2021 09:24:24,0,1234,121041,0,0,0,0,728829,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-628,Feature,Resolved,24.11.2020 11:26:43,Testinfrastruktur|,,24.11.2020 12:22:22,11.01.2021 11:47:10,0,55,69084,0,0,0,0,781966,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-627,Feature,Resolved,24.11.2020 11:26:16,CC-Erpobung und Q-Absicherung​ |,,24.11.2020 11:27:46,16.12.2020 11:24:38,0,1,10360,21316,0,0,0,819429,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-626,Feature,Resolved,24.11.2020 11:25:35,CC-Erpobung und Q-Absicherung​ |,,24.11.2020 11:27:57,16.12.2020 11:24:29,0,2,10360,21316,0,0,0,819429,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-625,Feature,Resolved,24.11.2020 11:24:34,CC-Erpobung und Q-Absicherung​ |,,24.11.2020 11:28:19,01.12.2020 16:08:27,0,3,10360,0,0,0,0,840745,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-624,Feature,Resolved,24.11.2020 11:23:15,Testinfrastruktur|,,24.11.2020 11:23:20,07.09.2021 17:00:45,0,0,69141,36121,0,308354,0,437493,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-623,Feature,Resolved,24.11.2020 11:21:07,Testinfrastruktur|,,24.11.2020 11:21:13,16.02.2021 11:10:13,0,0,34713,86235,0,0,0,730163,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-622,Feature,Resolved,24.11.2020 11:20:03,Konfigurationsmanagement|,,25.11.2020 07:55:53,11.01.2021 10:32:11,0,1390,1,67679,0,0,0,782041,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-621,Feature,Resolved,24.11.2020 11:16:14,Konfigurationsmanagement|,,24.11.2020 11:17:17,18.01.2021 16:20:04,0,1,1239,78129,0,0,132,771614,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-620,Feature,Resolved,24.11.2020 11:16:05,Testinfrastruktur|,,24.11.2020 11:19:47,05.02.2021 13:45:59,0,3,69144,36121,0,0,0,745848,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-619,Feature,Resolved,24.11.2020 11:14:01,Teststrategie, -prozesse, -tools​|,,24.11.2020 11:14:24,08.04.2021 14:35:04,0,1301,92498,79526,0,0,21274,656519,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-618,Feature,Resolved,24.11.2020 11:00:01,Automatisierungsplattform & Continuous Integration|,,24.11.2020 11:06:46,25.10.2021 15:22:01,0,18973,0,53011,0,0,410675,368472,0,Won't Do 
Shared Test, Integration and Delivery Porsche Connect,,STID-617,Feature,Resolved,24.11.2020 10:57:33,Konfigurationsmanagement|,,24.11.2020 11:18:46,12.01.2021 16:27:52,0,21,69054,1814,0,0,0,780246,0,Done 
